bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/2a/08/11	даровать, жаловать, награждать, вручать	مَنَحَ - يَمْنَحُ
bayna/2a/08/12	награждение, вручение	مَنْحٌ
bayna/2a/08/13	изобретатель	مُبْدِعٌ
bayna/2a/08/14	вознаграждение, компенсация	مُكَافَأَةٌ
bayna/2a/08/15	денежное вознаграждение	مُكَافَأَةٌ مَالِيَّةٌ
bayna/2a/08/16	щит, кольчуга, броня (здесь: почетный значок)	دِرْعٌ / دُرُوعٌ
bayna/2a/08/17	ценность; эк. стоимость	قِيمَةٌ / قِيمٌ
bayna/2a/08/18	доллар	دُولاَرٌ / دُولَارَاتٌ
bayna/2a/08/19	сопровождать, сопутствовать	صَحِبَ - يَصْحَبُ
bayna/2a/08/20	местные (отечественные) награды	جَوَائِزُ مَحَلِّيَّةٌ
bayna/2a/08/21	всемирные награды	جَوَائِزُ العَالَمِيَّةُ
bayna/2a/08/22	оценочный	تَقْدِيرِىٌّ
bayna/2a/08/23	премия в знак признания заслуг	جَائِزَةٌ تَقْدِيرِيَّةٌ
bayna/2a/08/24	поощрительный	تَشْجِيعِىٌّ
bayna/2a/08/25	поощрительная премия	جَائِزَةٌ تَشْجِيعِيَّةٌ
bayna/2a/08/26	создавать, образовывать, составлять ll	كَوَّنَ - يُكَوِّنُ
bayna/2a/08/27	комитет; комиссия; лига	لَجْنَةٌ / لِجَانٌ
bayna/2a/08/28	сторона; край, угол; местность, район; грам. синтаксис	نَحْوٌ / أَنْحَاءٌ
bayna/2a/08/29	во всех уголках мира	فِي جَمِيعِ أَنْحَاءِ العَالَمِ
bayna/2a/08/30	учреждение, заведение	مُؤَسَّسَةٌ
bayna/2a/08/31	благотворительное учреждение (фонд)	مُؤَسَّسَةٌ الخَيْرِيَّةُ
bayna/2a/08/32	Королевство Саудовская Аравия	Королевство Саудовская Аравия </html
bayna/2a/08/33	Нобелевская премия	جَائِزَةُ نُوبِلَ
bayna/2a/08/34	собираться, сходиться; объединяться, встречаться Vlll	إِجْتَمَعَ - يَجْتَمِعُ
bayna/2a/08/35	образцовый студент	الطَّالِبُ المِثَالِيُّ
bayna/2a/08/36	явление, аспект; внешность, внешний вид	مَظْهَرٌ / مَظَاهِرُ
bayna/2a/08/37	любимый; любимец	مَحبُوبٌ / مَحَابِيبُ
bayna/2a/08/38	товарищ, коллега, партнер	زَمِيلٌ / زُمَلاَءُ
bayna/2a/08/39	делить, разделять (наприм. горе, радость, участие в чем-либо); иметь что-нибудь общее с кем-либо (في،مع) lll	شَارَكَ - يُشَارِكُ
bayna/2a/08/40	записка, карточка; ярлык, этикетка	بِطَاقَةٌ / بَطَائقُ
bayna/2a/08/41	объявлять, обнародовать; опубликовывать; вызывать в суд lV	أَعْلَنَ - يُعْلِنُ
bayna/2a/08/42	сумма; размер; степень; предел	مَبْلَغٌ / مَبَالِغُ
bayna/2a/08/43	денежная сумма	مَبْلَغٌ مِنْ المَالِ
bayna/2a/08/44	толпа, компания; торжество, празднование	حَفْلٌ
bayna/2a/08/45	король, монарх	مَلِكٌ / مُلُوكٌ
bayna/2a/08/46	служение Исламу	خِدْمَةُ الإِسْلَامِ
bayna/2a/08/47	арабская литература	الأَدَبُ العَرَبِيُّ
bayna/2a/08/48	исламские исследования	الدِّرَاسَاتُ الإِسْلَامِيَّةُ
bayna/2a/08/49	побеждать (على); завоевывать, добиваться, получать (награду) (ب); спасаться (من)	فَازَ - يَفُوزُ
bayna/2a/08/50	победитель	فَائِزٌ
bayna/2a/08/51	краткое изложение, суть, резюме, сводка	مُلَخَّصٌ
bayna/2a/08/52	золотая медаль	مِيدَالِيَّةٌ ذَهَبِيَّةٌ
bayna/2a/08/53	добиваться, достигать, выигрывать; постигать (о беде); уменьшать; обижать, оскорблять	نَالَ - يَنُولُ
bayna/2a/08/54	рожденный; младенец, дитя	مَوْلُودٌ / مَوَالِيدُ
bayna/2a/08/55	Индия	الهِنْدُ
bayna/2a/08/56	Южная Африка	جَنُوب أَفْرِيقِيَا
bayna/2a/08/57	Иордания	الأُرْدُنّ
bayna/2a/08/58	Судан	السُّودَانُ
bayna/2a/08/59	Италия	إِيطَالِيَا
bayna/2a/08/60	Швейцария	سُوِيسْرَا
bayna/2a/08/61	Британия	بَرِيطَانِيَا
bayna/2a/08/62	Германия	أَلْمَانِيَا
bayna/2b/09/10	продолжительность; длина	طُولٌ / أَطْوَالٌ
bayna/2b/09/11	самый длинный, долгий; дольше	أَطْوَلُ
bayna/2b/09/12	экран	شَاشَةٌ
bayna/2b/09/13	экран компьютера	شَاشَةُ الحَاسُوبِ
bayna/2b/09/14	гонец, посыльный; почта	بَرِيدٌ / بُرُدٌ
bayna/2b/09/15	электронная почта	البَرِيدُ الإِلِكْتْرُونِيُّ
bayna/2b/09/16	подписчик, абонент	مُشْتَرِكٌ
bayna/2b/09/17	посылать, отправлять (ب); подстрекать (على); пробуждать, возрождать	بَعَثَ - يَبْعَثُ
bayna/2b/09/18	адрес (письма); заголовок, название; символ, знак	عُنْوَانٌ / عَنَاوِينُ
bayna/2b/09/19	связывать, соединять; перевязывать (рану); устанавливать, фиксировать	رَبَطَ - يَرْبُطُ
bayna/2b/09/20	исследовательские центры	مَرَاكِزُ البُحُوثِ
bayna/2b/09/21	современные средства связи	وَسَائِلُ الاِتِّصَالِ الحَدِيثَةُ
bayna/2b/09/22	современные средства передвижения	وَسَائِلُ النَّقْلِ الحَدِيثَةُ
bayna/2b/09/23	материк, континент	قَارَّةٌ
bayna/2b/09/24	мул	بَغْلٌ / بِغَالٌ
bayna/2b/09/25	осел	حِمَارٌ / حَمِيرٌ
bayna/2b/09/26	спина; горный хребет, гора; палуба	ظُهرٌ / ظُهُورٌ
bayna/2b/09/27	делать, производить, изготовлять	صَنَعَ - يَصْنَعُ
bayna/2b/09/28	коляска, телега; вагон	عَرَبَةٌ
bayna/2b/09/29	колесо; велосипед; повозка	عَجَلَةٌ
bayna/2b/09/30	двигатель, мотор	مُحَرِّكٌ
bayna/2b/09/31	средство передвижения, судно, корабль	مَرْكَبٌ / مَرَاكِبُ
bayna/2b/09/32	парусное судно	المَرْكَبُ الشِّرَاعِيُّ
bayna/2b/09/33	о том, что..; от того, что..	عَمَّا
bayna/2b/09/34	посылать, отправлять; отпускать (волосы, бороду) lV	أَرْسَلَ - يُرْسِلُ
bayna/2b/09/35	весть, новость, сообщение	خَبَرٌ / أَخْبَارٌ
bayna/2b/09/36	спорт. бегун; посыльный	عَدَّاءٌ
bayna/2b/09/37	собир. голуби	حَمَامٌ / حَمَائِمُ
bayna/2b/09/38	почтовые голуби	حَمَامُ الزَّاجِلُ
bayna/2b/09/39	собрание; форум, симпозиум	نَدْوَةٌ
bayna/2b/09/40	глобализация	العَوْلَمَةُ
bayna/2b/09/41	беседующий; собеседник	مُتَحَدِّثٌ
bayna/2b/09/42	отклонять, отвергать, отказывать	رَفَضَ - يَرْفُضُ
bayna/2b/09/43	довод, аргумент; оправдание	حُجَّةٌ / حُجَجٌ
bayna/2b/09/44	развитие, увеличение	تَنْمِيَةٌ
bayna/2b/09/45	попечение, забота; надзор, контроль; главенство	هَيْمَنَةٌ
bayna/2b/09/46	спор, прения, обсуждение	نِقَاشٌ
bayna/2b/09/47	горячий, раскаленный	سَاخِنٌ
bayna/2b/09/48	соглашаться, соответствовать, совпадать (مع); заключать соглашение, договор Vlll	إِتَّفَقَ - يَتَّفِقُ
bayna/2b/09/49	присутствующий; настоящий (о моменте), текущий, нынешний	حَاضِرٌ / حُضُورٌ
bayna/2b/09/50	большинство присутствовавших	مُعْظَمُ الحُضُورِ
bayna/2b/09/51	страны севера	دُوَلُ الشَّمَالِ
bayna/2b/09/52	страны юга	دُوَلُ الجَنُوبِ
bayna/2b/09/53	странствовать, разъезжать; блуждать, прогуливаться V	تَجَوَّلَ - يَتَجَوَّلُ
bayna/2b/09/54	садись (амр)	اِرْكَبْ
bayna/2b/09/55	владеть, быть собственником; управлять, править (على)	مَلَكَ - يَمْلِكُ
bayna/2b/09/56	безопасность	أَمْنٌ
bayna/2b/09/57	изобилие, благосостояние	رَخَاءٌ
bayna/2b/09/58	здоровый; истинный, правильный, верный	صَحِيحٌ / أَصِحَّاءُ
bayna/2b/09/59	простой; простодушный, наивный; умеренный (о плате)	بَسِيطٌ / بُسُطٌ
bayna/2b/09/60	убивать, сражаться, драться друг с другом Vl	تَقَاتَلَ - يَتَقَاتَلُ
bayna/2b/09/61	глупость; невежество	جَهْلٌ
bayna/2b/09/62	война	حَرْبٌ / حُرُوبٌ
bayna/2b/09/63	Аллаh знает лучше	اللّهُ أَعْلَمُ
bayna/2b/10/11	находить (что-либо) хорошим, приятным lV	أَطْيَبَ - يُطْيِبُ
bayna/2b/10/12	духи	عِطْرٌ / عُطُورٌ
bayna/2b/10/13	какие приятные духи!	مَا أَطْيَبَ العِطْرَ
bayna/2b/10/14	действительно, воистину	حَقًّا
bayna/2b/10/15	побуждать, подстрекать (الى)	حَثَّ - يَحُثُّ
bayna/2b/10/16	мыться, купаться; рел. совершать полное омовение Vlll	إِغْتَسَلَ - يَغْتَسِلُ
bayna/2b/10/17	чистота; обрезание; рел. очищение, омовение	طَهَارَةٌ = طُهُورٌ
bayna/2b/10/18	половина, часть; направление	شَطْرٌ / شُطُورٌ
bayna/2b/10/19	кающийся	تَوَّابٌ
bayna/2b/10/20	очищающийся	مُتَطَهِّرٌ
bayna/2b/10/21	тело, плоть	جَسَدٌ / أَجْسَادٌ
bayna/2b/10/22	жилье, жилище	مَسْكِنٌ / مَسَاكِنُ
bayna/2b/10/23	лицо; поверхность, лицевая сторона	وَجْهٌ / وُجُوهٌ
bayna/2b/10/25	локоть	مِرْفَقٌ / مَرَافِقُ
bayna/2b/10/26	мазать, смазывать (ب); тереть, протирать	مَسَحَ - يَمْسَحُ
bayna/2b/10/27	щиколотка; лодыжка	كَعْبٌ / كُعُوبٌ
bayna/2b/10/28	продолжительный, непрерывный	مُسْتَمِيرٌ
bayna/2b/10/29	возобновляться V	تَكَرَّرَ - يَتَكَرَّرُ
bayna/2b/10/30	удалять, устранять, уничтожать lV	أَزَالَ - يُزِيلُ
bayna/2b/10/31	грязь, нечистота	وَسَخٌ / أَوْسَاخٌ
bayna/2b/10/32	довольствоваться, ограничиваться Vlll	إِكْتَفَى - يَكْتَفِي
bayna/2b/10/33	прибавлять, добавлять, приписывать lV (الى)	أَضَافَ - يُضِيفُ
bayna/2b/10/34	мытье; полное омовение	غُسْلٌ
bayna/2b/10/35	зрелый (достигший половой зрелости)	مُحْتَلِمٌ
bayna/2b/10/36	менструация, регулы	حَيْضٌ
bayna/2b/10/37	роды; послеродовое кровотечение	نِفَاسٌ
bayna/2b/10/38	грязь; рел. осквернение	جَنَابَةٌ
bayna/2b/10/39	быстрая еда (фастфуд)	الأَكَلَاتُ السَّرِيعَةُ
bayna/2b/10/40	вкусный; изысканный	لَذِيذٌ / لِذَاذٌ
bayna/2b/10/41	здоровый, санитарный; гигиенический	صِحِّىٌّ
bayna/2b/10/42	отравление	تَسَمُّمٌ
bayna/2b/10/43	внимательно смотреть, наблюдать, замечать lll	لاَحَظَ - يُلَاحِظُ
bayna/2b/10/44	чистый	نَظِيفٌ / نُظَفَاءُ
bayna/2b/10/45	грязный, запачканный	مُتَّسِخٌ
bayna/2b/10/46	стакан, кубок	كُوبٌ / أَكْوَابٌ
bayna/2b/10/47	общественные места	الأَمَاكِنُ العَامَّةُ
bayna/2b/10/48	ответственность, подотчетность кому-то	مَسْؤُولِيَّةٌ
bayna/2b/10/49	цивилизованная страна	دَوْلَةٌ مُتَحَضِّرَةٌ
bayna/2b/10/50	отсталая страна	دَوْلَةٌ مُتَخَلِّفَةٌ
bayna/2b/10/51	Малайзия	مَالِيزِيَا
bayna/2b/10/52	Сингапур	سِنْغَافُورَة
bayna/2b/10/53	загрязненность, неопрятность	قَذَارَةٌ
bayna/2b/10/54	путешествовать, странствовать, объезжать	جَابَ - يَجُوبُ
bayna/2b/10/55	мусорные контейнеры	حَاوِيَاتُ النَّظَافَةِ
bayna/2b/10/56	зажигать, сжигать, жечь	حَرَقَ - يَحْرُقُ
bayna/2b/10/57	отходы, отбросы, мусор	نُفَايَاتٌ
bayna/2b/10/58	удалять, устранять, снимать lV	أَمَاطَ - يُمِيطُ
bayna/2b/10/59	удаление, устранение	إِمَاطَةٌ
bayna/2b/10/60	милостыня	صَدَقَةٌ
bayna/2b/11/11	стеснять; докучать, донимать lll	ضَايَقَ - يُضَايِقُ
bayna/2b/11/12	делать счастливым IV	أَسْعَدَ - يُسْعِدُ
bayna/2b/11/13	приветствовать кого-либо (ب) ll	رَحَّبَ - يُرَحِّبُ
bayna/2b/11/14	неграмотный, невежественный; материнский	أُمِّىٌّ
bayna/2b/11/15	время, пора, эпоха; сезон	زَمَانٌ / أَزْمِنَةٌ
bayna/2b/11/16	нейтральный	مُحَايِدٌ
bayna/2b/11/17	нейтральность	مُحَايَدَةٌ
bayna/2b/11/18	вражеский, враждебный; анти	مُعَادٍ
bayna/2b/11/19	антиисламские писатели	كُتَّابٌ مُعَادِينَ لِلإِسْلَامِ
bayna/2b/11/20	корень; происхождение, порода	عِرْقٌ / أَعْرَاقٌ
bayna/2b/11/21	историк	مُؤَرِّخٌ
bayna/2b/11/22	единобожие, монотеизм	التَّوْحِيدُ
bayna/2b/11/23	переписывать, копировать; подражать; отменять, аннулировать	نَسَخَ - يَنْسَخُ
bayna/2b/11/24	остающийся, остаток; сохранный, вечный	بَاقٍ
bayna/2b/11/25	хотеть, желать VIII	إِبْتَغَى - يَبْتَغِي
bayna/2b/11/26	ручаться, брать на себя ответственность (ب) V	تَكَفَّلَ - يَتَكَفَّلُ
bayna/2b/11/27	поминание; память; воспоминание	ذِكْرٌ / أَذْكَارٌ
bayna/2b/11/28	верить; обеспечивать безопасность (ب) IV	آمَنَ - يُؤْمِنُ
bayna/2b/11/29	внук; род, колено	سِبْطٌ / أَسْبَاطٌ
bayna/2b/11/30	(страд. от آتى) даровал, принес	أُوتِيَ
bayna/2b/11/31	поднятие, повышение; снятие, устранение, отмена	رَفْعٌ
bayna/2b/11/32	гнет, притеснение, несправедливость	ظُلْمٌ
bayna/2b/11/33	давать вести себя, быть ведомым; повиноваться, поддаваться (ل) VII	إِنْقَادَ - إِنْقَادَ
bayna/2b/11/34	страх, боязнь, ужас	رَهْبَةٌ
bayna/2b/11/35	равенство	مُسَاوَاةٌ
bayna/2b/11/36	пыль; прах, земля	تُرَابٌ / أَتْرِبَةٌ
bayna/2b/11/37	иностранный; иностранец	أَعْجَمِىٌّ
bayna/2b/11/38	покоряться, подчиняться; принимать Ислам IV	أَسْلَمَ - يُسْلِمُ
bayna/2b/11/39	порядок; правильность; регулярность	إِنْتِظَامٌ
bayna/2b/11/40	регулярно, систематически	بِاِنْتِظَامٍ
bayna/2b/11/41	зародыш, эмбрион	جَنِينٌ / أَجِنَّةٌ
bayna/2b/11/42	надежность, верность, преданность; вещь, отдаваемая на хранение	أَمَانَةٌ
bayna/2b/11/43	справедливость, правосудие	عَدْلٌ
bayna/2b/11/45	глубокий	عَمِيقٌ
bayna/2b/11/46	одалживать, давать взаймы; уделять внимание, проявлять интерес IV	أَعَارَ - يُعِيرُ
bayna/2b/11/47	имеющийся, наличный; существующий, реальный	مَوْجُودٌ
bayna/2b/11/48	столп; колонна, опора; основа	رُكْنٌ / أَرْكَانٌ
bayna/2b/11/49	(он) основан	بُنِيَ
bayna/2b/11/50	два свидетельства	الشَّهَادَتَانِ
bayna/2b/11/51	совершение молитвы	إِقَامَةُ الصَّلَاةِ
bayna/2b/11/52	выплата закята	إِيتَاءُ الزَّكَاةِ
bayna/2b/11/53	ключ	مِفْتَاحٌ / مَفَاتِيحُ
bayna/2b/11/54	столб; шест, мачта	عَمُودٌ / عِمْدَانٌ
bayna/2b/11/55	вершина, верхушка	ذُرْوَةٌ
bayna/2b/11/56	считаться, рассчитываться; давать отчет, отчитываться; требовать отчета (على) lll	حَاسَبَ - يُحَاسِبُ
bayna/2b/11/57	рел. воскресение	قِيَامَةٌ
bayna/2b/11/58	Судный день	يَوْمُ القِيَامَةِ
bayna/2b/11/59	назначенный на опред. время; ограниченный временем, временной	مَوْقُوتٌ
bayna/2b/11/60	рел. очищаться; оправдываться; давать милостыню V	تَزَكَّى - يَتَزَكَّى
bayna/2b/11/61	остерегаться, беречься; избегать, бояться, находиться в страхе VIII	إِتَّقَى - يَتَّقِي
bayna/2b/11/62	сильное желание; страсть	شَهْوَةٌ / شَهَوَاتٌ
bayna/2b/11/63	половые органы	فَرْجٌ / فُرُوجٌ
bayna/2b/11/64	постящийся	صَائِمٌ / صُوَّمٌ
bayna/2b/11/65	исчисление; довольство, безропотность; надежда на награду от Аллаhа	إِحْتِسَابٌ
bayna/2b/11/66	грех, проступок; вина	ذَنْبٌ / ذُنُوبٌ
bayna/2b/11/67	хижина отшельника, келья; церемония, обряд, ритуал	مَنْسِكٌ / مَنَاسِكُ
bayna/2b/11/68	выполнение религиозных обрядов	أَدَاءُ المَنَاسِكِ
bayna/2b/12/11	зрелость, возмужалость	مُرَاهَقَةٌ
bayna/2b/12/12	сообщать, осведомлять, доводить до сведения (ب) II	خَبَّرَ - يُخَبِّرُ
bayna/2b/12/13	ощущение, чувство; переживание; сознание	شُعُورٌ
bayna/2b/12/14	забывать, упускать из виду	نَسِىَ - يَنْسَى
bayna/2b/12/15	заканчивать, доводить до конца IV	أَتَمَّ - يُتِمُّ
bayna/2b/12/16	быть полезным, приносить пользу; годиться	نَفَعَ - يَنْفَعُ
bayna/2b/12/17	вести беседу между собой VI	تَحَاوَرَ - يَتَحَاوَرُ
bayna/2b/12/18	уважать, почитать VIII	إِحْتَرَمَ - يَحْتَرِمُ
bayna/2b/12/19	богатство	ثَرْوَةٌ
bayna/2b/12/20	предоставление; дар, подарок	عَطَاءٌ / أَعْطِيَةٌ
bayna/2b/12/21	назначать правителем, назначать (на должность); поручать; направлять II	وَلَّى - يُوَلِّي
bayna/2b/12/22	командование, управление; вождение	قِيَادَةٌ
bayna/2b/12/23	армия, войско	جَيْشٌ / جُيُوشٌ
bayna/2b/12/24	важный, серьезный; усердный	جَادٌّ
bayna/2b/12/25	пренебрегать; небрежно, невнимательно относиться; забросить IV	أَهْمَلَ - يُهْمِلُ
bayna/2b/12/26	ошибаться, заблуждаться; совершить ошибку	خَطِئَ - يُخْطِئُ
bayna/2b/12/27	положенный, помещенный; тема, положение, предмет разговора; тезис	مَوْضُوعٌ / مَوَاضِيعُ
bayna/2b/12/28	неважный, незначительный	غَيْرُ مُهِمٍّ
bayna/2b/12/29	опыт, навык; испытание, эксперимент; репетиция	تَجْرِبَةٌ / تَجَارِبُ
bayna/2b/12/30	связь (отношения) отцов и детей	العَلَاقَةُ بَيْنَ الآبَاءِ وَالأَبْنَاءِ
bayna/2b/12/31	война, сражение, битва	مُحَارَبَةٌ
bayna/2b/12/32	разрывание	تَمَزِيقٌ
bayna/2b/12/33	наследие, наследство	تُرَاثٌ
bayna/2b/12/34	образ жизни, поведение, манера держаться; этика	سُلُوكٌ
bayna/2b/12/35	противоречить друг другу, не соглашаться; составлять контраст VI	تَنَاقَضَ - يَتَنَاقَضُ
bayna/2b/12/36	противоречие, разногласие; контраст, несовместимость	تَنَاقُضٌ
bayna/2b/12/37	строительство, сооружение; постройка, здание; конструкция; структура	بِنَاءٌ / أَبْنِيَةٌ
bayna/2b/13/11	красивый, прекрасный; хороший, благой	حَسَنٌ / حِسَانٌ
bayna/2b/13/12	хорошо	حَسَنًا
bayna/2b/13/13	Азия	آسِيَا
bayna/2b/13/14	самый малый, малейший	أَقَلُّ
bayna/2b/13/15	меньший; самый маленький; младший	أَصْغَرُ
bayna/2b/13/16	пространство, площадь, территория; расстояние	مِسَاحَةٌ
bayna/2b/13/17	спасать, избавлять, освобождать IV	أَنْقَذَ - يُنْقِذُ
bayna/2b/13/18	Мальдивы (острова)	جُزُرُ المَالْدِيفِ
bayna/2b/13/19	земной шар	الكُرَةُ الأَرْضِيَّةُ
bayna/2b/13/20	завертывать; обнимать; охватывать; включать в себя; быть универсальным	شَمَلَ - يَشْمُلُ
bayna/2b/13/21	пояс; климатический пояс, район, зона; округ; сфера	مِنْطَقَةٌ / مَنَاطِقُ
bayna/2b/13/22	окружающий, объемлющий; окружность; океан	مُحِيطٌ
bayna/2b/13/23	Атлантический океан	المُحِيطُ الأَطْلَسِيّ
bayna/2b/13/24	Индийский океан	المُحِيطُ الهِنْدِيّ
bayna/2b/13/25	Тихий океан	المُحِيطُ الهَادِي
bayna/2b/13/26	Северно-ледовитый океан*	المُحِيطُ المُتَجَمِّدُ الشَّمَالِيّ
bayna/2b/13/27	Черное море	البَحْرُ الأَسْوَدُ
bayna/2b/13/28	Красное море	البَحْرُ الأَحْمَرُ
bayna/2b/13/29	Средиземное море	البَحْرُ الأَبْيَضُ المُتَوَسِّطُ
bayna/2b/13/30	Аравийское море	بَحْرُ العَرَب
bayna/2b/13/31	залив; бухта, канал	خَلِيجٌ / خُلْجَانٌ
bayna/2b/13/32	Персидский (Арабский) залив	الخَلِيجُ العَرَبِيّ
bayna/2b/13/33	Сибирь	سِيبِيرِيَا
bayna/2b/13/34	послушный, покорный	طَائِعٌ
bayna/2b/13/35	добровольно	طَائِعًا
bayna/2b/13/36	объеденять, унифицировать; произносить слова لَا إلَهَ إلاَّ اللَّهُ II	وَحَّدَ - يُوَحِّدُ
bayna/2b/13/37	проход, переход; коридор; аллея	مَمَرٌّ
bayna/2b/13/38	подводные переходы	مَمَرَّاتٌ المَائِيَّةُ
bayna/2b/13/39	месторождение (металлов, минералов), рудник, шахта; металл, минерал; источник	مَعْدِنٌ / مَعَادِنُ
bayna/2b/13/40	полезное ископаемое; металлический, минеральный; шахтер	مَعْدِنِىٌّ
bayna/2b/13/41	озабоченный, обеспокоенный, огорченный	مَهْمُومٌ
bayna/2b/13/42	отдаление, отстранение	اِبْتِعَادٌ
bayna/2b/13/43	спор, конфликт; борьба, тяжба; мед. агония	مُنَازَعَة / مُنَازَعَاتٌ
bayna/2b/13/44	занятость	إِشْتِغَالٌ
bayna/2b/13/45	востоковедение	إِسْتِشْرَاقٌ
bayna/2b/13/46	объединяться, составлять союз; сходиться, совпадать VIII	إِتَّحَدَ - يَتَّحِدُ
bayna/2b/13/47	просить помочь, привлекать на помощь (ب) X	إِسْتَعَانَ - يَسْتَعِينُ
bayna/2b/13/48	просьба о помощи, содействии	إِسْتِعَانَةٌ
bayna/2b/13/49	с дозволения Аллаhа	بِإِذْنِ اللهِ
bayna/2b/13/50	сокращение, краткость	إِخْتِصَارٌ
bayna/2b/13/51	кратко, вкратце; короче говоря	بِاخْتِصَارٍ
bayna/2b/13/52	Запретный Дом Аллаhа (Кааба)	بَيْتُ اللهِ الحَرَامُ
bayna/2b/13/53	строение, здание, корпус	مَبْنًى / مَبَانٍ
bayna/2b/13/54	монета; деньги, валюта; плата за труд	عُمْلَةٌ
bayna/2b/13/55	саудовский риял	رِيَالٌ سَعُودِيٌّ
bayna/2b/13/56	нефть	نِفْطٌ
bayna/2b/13/57	Нигерия	نَيْجِيرِيَا
bayna/2b/13/58	Абуджа (столица Нигерии)	أَبُوجَا
bayna/2b/13/59	какао	كَاكَاو
bayna/2b/13/60	земляные орехи, арахис	فُولُ سُودَانِىٌّ
bayna/2b/13/61	растягивающийся, эластичный; резина, каучук; шина, покрышка (автомобиля)	مَطَّاطٌ
bayna/2b/13/62	Найра (валюта Нигерии)	نَايْرَا
bayna/2b/14/11	кража, воровство	سَرِقَةٌ
bayna/2b/14/12	национальный банк	المَصْرِفُ الوَطَنِيُّ
bayna/2b/14/13	пугать, устрашать IV	أَخَافَ - يُخِيفُ
bayna/2b/14/14	спокойствие, чувство безопасности; доверие	إِطْمِئَنَانٌ
bayna/2b/14/15	брать в руки, владеть; сжимать; задерживать, арестовывать (على)	قَبَضَ- يَقْبِضُ
bayna/2b/14/16	полиция	شُرْطَةٌ
bayna/2b/14/17	собирающий, срывающий (плоды); преступный; преступник	جَانٍ / جُنَاةٌ
bayna/2b/14/18	приближающийся (الى), близкий; посредственный, заурядный	مُقَارِبٌ
bayna/2b/14/19	зараза, инфекция	عَدْوَى
bayna/2b/14/20	захват; насилие	إِغْتِصَابٌ
bayna/2b/14/21	стоить (чего-либо); ровняться; выравнивать, делать одинаковым III	سَاوَى - يُسَاوِي
bayna/2b/14/22	делать постоянным, длительным, продлевать IV	أدَامَ - يُدِيمُ
bayna/2b/14/23	да продлит нам Аллаh милость спокойствия!	أَدَامَ اللهُ عَلَيْنَا نِعْمَةً الآمْنِ
bayna/2b/14/24	рел. амин[ь]	آمِينٌ
bayna/2b/14/25	перевозить, транспортировать; передавать, рассказывать; цитировать (عن); переезжать (الى)	نَقَلَ - يَنْقُلُ
bayna/2b/14/26	ослаблять, обессиливать; смягчать IV	أَضْعَفَ - يُضْعِفُ
bayna/2b/14/27	пробовать (на вкус); испытывать	ذَاقَ - يَذُوقُ
bayna/2b/14/28	наслаждаться; пользоваться (ب) V	تَمَتَّعَ - يَتَمَتَّعُ
bayna/2b/14/29	Первая мировая война	الحَرْبُ العَالَمِيَّةُ الأُولَى
bayna/2b/14/30	Вторая мировая война	الحَرْبُ العَالَمِيَّةُ الثَّانِيَةُ
bayna/2b/14/31	Лига Наций	عُصْبَةُ الأُمَمِ
bayna/2b/14/32	Совет Безопасности (ООН)	مَجْلِسُ الأَمْنِ
bayna/2b/14/33	наказание	عُقُوبَةٌ
bayna/2b/14/34	нападающий; переходный (о глаголе)	مُتَعَدٍّ
bayna/2b/14/35	заставлять встать, поднимать; останавливать, прекращать; отстранять (عن); посвящать, осведомлять (على) IV	أَوْقَفَ - يُوقِفُ
bayna/2b/14/36	в особенности, особенно	بِخَاصَّةٍ
bayna/2b/14/37	подозревать, обвинять (ب) VIII	إِتَّهَمَ - يَتَّهِمُ
bayna/2b/14/38	беречь, печься, заботиться; ведать, осуществлять контроль, надзор; главенствовать (على); говорить аминь	هَيْمَنَ - يُهَيْمِنُ
bayna/2b/14/39	выполнять, приводить в исполнение; прокалывать; посылать II	نَفَّذَ - يُنَفِّذُ
bayna/2b/14/40	занимать, тревожить, озабочивать; отвлекать	شَغَلَ - يَشْغَلُ
bayna/2b/14/41	(что-то) беспокоит меня	يَشْغَلُ بَالِي
bayna/2b/14/42	сдерживающий; сдерживающее начало	رَادِعٌ / رَوَادِعُ
bayna/2b/14/43	безудержно	بِغَيْرِ رَادِعٍ
bayna/2b/14/44	преступник	مُجْرِمٌ
bayna/2b/14/45	сажать, заключать в тюрьму	سَجَنَ - يَسْجُنُ
bayna/2b/14/46	совершать (грех, преступление и т.п.) VIII	إِرْتَكَبَ - يَرْتَكِبُ
bayna/2b/14/47	возмездие, расплата	قِصَاصٌ
bayna/2b/14/48	ум, разум; душа	لُبٌّ / أَلْبَابٌ
bayna/2b/14/49	обладатели разума	أُولُو الأَلْبَابِ
bayna/2b/14/50	поддерживать, подкреплять, усиливать; подтверждать II	أَيَّدَ - يُؤَيِّدُ
bayna/2b/14/51	голод; голодовка	جُوعٌ
bayna/2b/14/52	кормить, питать IV	أَطْعَمَ - يُطْعِمُ
bayna/2b/14/53	страх, боязнь	خَوْفٌ
bayna/2b/14/54	сотрудничать; помогать друг другу; взаимодействовать Vl	تَعَاوَنَ - يَتَعَاوَنُ
bayna/2b/14/55	идущий правильным путем	مُهْتَدٍ
bayna/2b/14/56	быть в наличии, иметься (فى); хватать, быть достаточным (ل); сберегаться, накопляться; всецело отдаваться (على) V	تَوَفَّرَ - يَتَوَفَّرُ
bayna/2b/14/57	лишать, отказывать; запрещать	حَرَمَ - يَحْرِمُ
